2013-11-06 12:44:57,778 [100] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 86] Application shutdown. Reason: ConfigurationChange
2013-11-06 12:44:58,792 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Determining hash of code files on disk
2013-11-06 12:44:58,811 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Hash determined (took 8ms)
2013-11-06 12:44:58,822 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2013-11-06 12:44:58,937 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 16 (took 112ms)
2013-11-06 12:44:58,964 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2013-11-06 12:44:58,971 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 6ms)
2013-11-06 12:44:58,974 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2013-11-06 12:44:58,982 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 4 (took 8ms)
2013-11-06 12:44:58,982 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2013-11-06 12:44:58,987 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 3 (took 4ms)
2013-11-06 12:44:58,990 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2013-11-06 12:44:58,996 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 6ms)
2013-11-06 12:44:58,997 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2013-11-06 12:44:59,004 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 7ms)
2013-11-06 12:44:59,214 [113] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 116] Initializing Examine and binding to business logic events
2013-11-06 12:44:59,648 [113] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 116] Adding examine event handlers for index providers: 3
2013-11-06 12:44:59,661 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Starting resolution types of umbraco.interfaces.IApplication
2013-11-06 12:44:59,672 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Completed resolution of types of umbraco.interfaces.IApplication, found 7 (took 10ms)
2013-11-06 12:44:59,744 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Starting resolution types of umbraco.interfaces.ITree
2013-11-06 12:44:59,766 [113] INFO  Umbraco.Core.PluginManager - [Thread 116] Completed resolution of types of umbraco.interfaces.ITree, found 27 (took 21ms)
